transaction_id,card_id,bin,brand,card_type,home_country,merchant_id,mcc,merchant_country,amount,currency,card_present,timestamp,device_id,ip_country,auth_result,risk_score,risk_bucket,is_fraud_pattern,chargeback
tx_1,card_1179,400000,Visa,credit,AU,m_217,4816,US,222.67,USD,False,2025-11-13 02:52:41.680621,device_3756,AU,declined,0,0,0,0
tx_2,card_783,510000,Mastercard,credit,MX,m_127,5411,US,21.64,USD,False,2025-11-15 05:48:50.680621,device_614,MX,approved,0,0,0,0
tx_3,card_463,510000,Mastercard,credit,DE,m_60,5999,CA,183.99,USD,True,2025-11-02 07:03:42.680621,device_2581,DE,approved,0,0,0,0
tx_4,card_326,370000,Amex,credit,GB,m_43,4814,BR,156.77,USD,False,2025-10-30 15:15:45.680621,device_612,GB,approved,0,0,0,0
tx_5,card_4,400100,Visa,debit,CA,m_221,7995,BR,746.05,USD,False,2025-10-18 05:06:33.680621,device_1347,CA,approved,25,21-40,0,0
tx_6,card_1057,520000,Mastercard,debit,US,m_193,5968,BR,169.27,USD,False,2025-11-20 19:57:07.680621,device_2526,US,approved,15,1-20,0,0
tx_7,card_97,370000,Amex,credit,CA,m_81,4816,DE,178.37,USD,False,2025-11-06 11:46:52.680621,device_4943,CA,approved,15,1-20,0,0
tx_8,card_156,530000,Mastercard,prepaid,US,m_246,6011,MX,143.79,USD,False,2025-11-11 11:50:58.680621,device_3247,US,approved,0,0,0,0
tx_9,card_91,520000,Mastercard,debit,FR,m_87,7995,AU,740.32,USD,False,2025-10-10 23:20:07.680621,device_3313,FR,approved,25,21-40,0,0
tx_10,card_54,370000,Amex,credit,CA,m_91,4816,DE,65.56,USD,False,2025-10-17 20:22:12.680621,device_1146,US,approved,20,1-20,1,0
tx_11,card_1193,510000,Mastercard,credit,DE,m_250,7995,BR,413.6,USD,False,2025-11-13 02:17:25.680621,device_689,DE,approved,0,0,0,0
tx_12,card_417,520000,Mastercard,debit,AU,m_155,5732,US,120.47,USD,False,2025-10-27 03:42:02.680621,device_3633,AU,approved,15,1-20,0,0
tx_13,card_148,510000,Mastercard,credit,FR,m_154,4814,GB,297.39,USD,True,2025-11-21 17:06:17.680621,device_415,FR,approved,0,0,0,0
